SiteID,X,Y
O31/0127,173.720104,-42.31651004
O31/0110,173.6526309,-42.35734221
O31/0200,173.654342,-42.36777046
O31/0238,173.726817,-42.33358826
O31/0121,173.6772621,-42.3578568
O31/0255,173.6783611,-42.3527799
O31/0304,173.6517845,-42.39644216
O31/0299,173.6652704,-42.37909118
O31/0312,173.6743397,-42.38548649
O31/0309,173.6670074,-42.39286027
BT27/5037,173.6764592,-42.38940963
O31/0156,173.6770783,-42.38936094
O31/0308,173.6667601,-42.39245644
O31/0306,173.6520347,-42.39596342
O31/0107,173.6349157,-42.3731302
O31/0219,173.6398965,-42.41150408
O31/0026,173.6220548,-42.38436817
O31/0196,173.6102944,-42.39429295
O31/0280,173.615269,-42.41969925
O31/0259,173.6172263,-42.41974276
O31/0096,173.6151826,-42.41956462
N32/0117,173.0487112,-42.6472962
N32/0096,172.8112835,-42.53279632
N32/0106,172.8149631,-42.52380549
N32/0097,172.8149551,-42.52650723
N32/0088,172.8336421,-42.5412604
N32/0095,172.82103,-42.53101979
N32/0107,172.8155705,-42.52425676
N32/0204,172.807856,-42.55456666
BU24/0002,172.769092,-42.53248492
N32/0492,172.9782022,-42.6414328
N32/0491,172.8618705,-42.66874674
O33/0076,173.2684229,-42.73926313
O33/0078,173.2807485,-42.73891839
O32/0018,173.276176,-42.72992401
O32/0016,173.2903489,-42.72010896
O32/0024,173.2797079,-42.72484533
O32/0023,173.2902886,-42.72027122
O33/0003,173.2733927,-42.73866602
N33/0200,172.9391962,-42.7508094
N32/0116,173.0420071,-42.65540393
N32/0115,173.036834,-42.65541472
N32/0140,172.9469289,-42.69608665
N32/0146,172.9486772,-42.6931066
N32/0145,172.947087,-42.69679817
N32/0157,172.9467209,-42.69652783
N32/0153,172.9470895,-42.69382633
N32/0159,172.9457432,-42.69769809
N32/0158,172.9459886,-42.69634737
N32/0164,172.9424447,-42.69994788
N32/0161,172.9441553,-42.69850783
N32/0166,172.9404899,-42.70129771
N32/0165,172.9420783,-42.7001278
N32/0169,172.9523221,-42.69995241
N32/0056,173.2192858,-42.72891236
O33/0043,173.3058178,-42.74635576
N32/0062,173.0182941,-42.71463993
N32/0108,173.2192376,-42.72911958
N33/0249,173.2322711,-42.73890989
N33/0111,173.2331751,-42.73890805
N33/0163,173.2201458,-42.7406809
N33/0112,173.2321828,-42.73816261
N33/0166,173.2233152,-42.74889678
O33/0047,173.2519879,-42.81691831
N33/0091,173.2292012,-42.81752452
O33/0061,173.2725384,-42.81135094
O33/0049,173.2577124,-42.81095301
O33/0073,173.2507859,-42.80702403
O33/0065,173.2529393,-42.80423663
O33/0074,173.2577992,-42.81123198
O33/0014,173.2731765,-42.81183571
O33/0030,173.2648508,-42.89293014
BV24/0024,172.7926201,-42.84362761
BV24/0023,172.7923128,-42.84401428
M33/0214,172.607897,-42.84674617
N33/0027,172.8518102,-42.77340542
N33/0013,172.8532859,-42.76963404
N33/0212,172.8514632,-42.77538617
N33/0206,172.8213859,-42.75606253
N33/0103,172.8354467,-42.79025025
M33/0203,172.6771386,-42.87546412
M33/0246,172.6716525,-42.91947514
BV24/0028,172.8351149,-42.9472571
N33/0217,172.8520422,-42.77862888
N33/0216,172.7807339,-42.76492533
N33/0219,172.7683082,-42.77034016
N33/0004,172.7686247,-42.76741403
N33/0194,172.7944285,-42.80015296
N33/0205,172.8891812,-42.7650546
N33/0204,172.9366284,-42.77646457
N34/0005,172.854147,-43.02196233
N33/0064,172.8716122,-43.00398212
N34/0109,172.7772825,-43.04529668
BV24/0069,172.5726269,-42.96015782
M34/0688,172.7080479,-43.08166521
M34/0689,172.7084941,-43.08342231
M34/0560,172.7527015,-43.16463342
N34/0062,172.7874196,-43.16020078
N34/0064,172.7869654,-43.15992078
N34/0065,172.7846762,-43.16379758
N34/0086,172.7870105,-43.16109149
M34/0758,172.722827,-43.13063467
M34/0353,172.6908419,-43.09284918
M34/0074,172.7321257,-43.12411027
M34/0311,172.6919312,-43.09859727
M34/0340,172.7151833,-43.19870137
M34/0154,172.7460107,-43.19698201
BW24/0051,172.75336,-43.21191898
M34/0105,172.7524965,-43.21234034
M34/5864,172.7455851,-43.19869197
M34/0211,172.552713,-43.26933671
M34/5557,172.386644,-43.23346662
M34/5617,172.685447,-43.24884285
M34/0169,172.7150759,-43.2138381
M34/0223,172.6358062,-43.27524133
M35/0372,172.5870692,-43.28927608
M35/0375,172.612948,-43.28846612
M35/0383,172.5907671,-43.28928937
M35/0405,172.7205421,-43.28391708
M35/0444,172.7200211,-43.28463618
M35/3121,172.594465,-43.28930254
M35/4482,172.6044585,-43.28794182
M35/9594,172.7199097,-43.28473496
M34/0252,172.5441008,-43.26751078
M34/0270,172.4928743,-43.20698171
M34/0442,172.4191541,-43.24409975
M34/0526,172.4988479,-43.21259998
M34/0571,172.5015179,-43.24301154
M34/0301,172.3351687,-43.26603704
M34/0247,172.7095396,-43.26488086
M34/0192,172.7057985,-43.26647412
M34/0201,172.6833139,-43.26347857
M34/0312,172.6450938,-43.26966963
M34/0313,172.6450886,-43.27057008
M34/0329,172.6212842,-43.27597758
M34/0339,172.6223945,-43.27580116
M34/0108,172.5861721,-43.23976523
M35/4264,172.6794683,-43.30833793
M35/0232,172.608006,-43.29025021
M35/0256,172.604308,-43.29023748
M35/0271,172.6147017,-43.29183976
M35/0374,172.6092328,-43.29115487
M35/0376,172.6190494,-43.29838267
