SiteName,Easting,Northing
0,,
BT25/5004,1611240.0,5299780.0
BT27/5030,1648674.0,5302829.0
BT27/5037,1655681.0,5306766.0
BU24/0002,1581037.0,5291074.0
BV23/0013,1564001.0,5255546.0
BV24/0019,1577846.0,5258749.0
BV24/0023,1583029.0,5256486.0
BV24/0024,1583054.0,5256529.0
BV24/0028,1586549.0,5245029.0
BV24/0069,1565144.0,5243521.0
BV24/0070,1569073.0,5260462.0
BV24/0105,1577091.0,5226258.0
BW22/0001,1527383.0,5195343.0
BW22/0002,1527440.0,5195286.0
BW23/0002,1553398.0,5216097.0
BW23/0083,1550984.0,5191012.0
BW23/0133,1556033.0,5193093.0
BW23/0134,1561298.0,5203457.0
BW23/0199,1540405.0,5211554.0
BW23/0493,1560155.0,5197406.0
BW23/0499,1556753.0,5193265.0
BW23/0500,1556755.0,5193263.0
BW24/0023,1568021.0,5192526.0
BW24/0037,1576179.0,5201485.0
BW24/0038,1576181.0,5201460.0
BW24/0039,1576180.0,5201404.0
BW24/0051,1579966.0,5215622.0
BW24/0091,1567625.0,5197764.0
BW24/0125,1567243.0,5202860.0
BW24/0126,1567239.0,5202762.0
BW24/0202,1567885.0,5198624.0
BW24/0260,1578005.0,5220628.0
BW24/0274,1571948.0,5192875.0
BW24/0337,1571037.0,5197365.0
BW24/0338,1571035.0,5197366.0
BW24/0339,1571034.0,5197366.0
BW24/0340,1571033.0,5197369.0
BW24/0342,1568369.0,5194700.0
BW24/0343,1568370.0,5194700.0
BW24/0344,1568370.0,5194699.0
BW24/0345,1568368.0,5194698.0
BW24/0346,1568369.0,5194698.0
BW24/0419,1569095.0,5195594.0
BX20/0029,1473767.0,5166205.0
BX21/0017,1512832.0,5176552.0
BX22/0041,1520589.0,5172673.0
BX22/0044,1529690.0,5166670.0
BX22/0115,1517950.0,5177027.0
BX22/0140,1519059.0,5178738.0
BX22/0158,1529097.0,5189167.0
BX22/0184,1520831.0,5176997.0
BX22/0201,1519427.0,5179574.0
BX23/0035,1558280.0,5184760.0
BX23/0036,1558388.0,5184684.0
BX23/0037,1558713.0,5184749.0
BX23/0045,1554532.0,5182154.0
